"gi","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop","amplicon_length","taxID","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species group","parvorder","varietas"
NA,"MZ560858.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560857.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560856.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560855.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560854.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560853.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560851.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560850.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560849.1",136,0,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560861.1",136,1,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560860.1",136,1,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560859.1",136,1,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ560852.1",136,1,0,627,610,492,509,492,627,100,"37186","Hippotragus equinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Hippotraginae","Hippotragus","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MN366396.1",136,0,0,624,607,489,506,489,624,100,"9940","Ovis aries","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Caprinae","Ovis","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MN366394.1",136,0,0,619,602,484,501,484,619,100,"9940","Ovis aries","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Bovidae","Caprinae","Ovis","Pecora",NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"OW443378.1",135,1,0,29036860,29036877,29036994,29036977,29036860,29036994,99,"9733","Orcinus orca","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Delphinidae",NA,"Orcinus","Cetacea",NA,"Laurasiatheria",NA,NA,NA,NA,NA,"Odontoceti",NA
NA,"OW443382.1",135,1,0,634,617,500,517,500,634,99,"9733","Orcinus orca","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Delphinidae",NA,"Orcinus","Cetacea",NA,"Laurasiatheria",NA,NA,NA,NA,NA,"Odontoceti",NA
NA,"OW443381.1",135,1,0,24697161,24697144,24697027,24697044,24697027,24697161,99,"9733","Orcinus orca","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Delphinidae",NA,"Orcinus","Cetacea",NA,"Laurasiatheria",NA,NA,NA,NA,NA,"Odontoceti",NA
NA,"OW443373.1",135,1,0,28693961,28693944,28693827,28693844,28693827,28693961,99,"9733","Orcinus orca","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Delphinidae",NA,"Orcinus","Cetacea",NA,"Laurasiatheria",NA,NA,NA,NA,NA,"Odontoceti",NA
NA,"MT874476.1",135,1,0,632,615,498,515,498,632,99,"9742","Phocoena phocoena","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Artiodactyla","Phocoenidae",NA,"Phocoena","Cetacea",NA,"Laurasiatheria",NA,NA,NA,NA,NA,"Odontoceti",NA
NA,"NC_062617.1",135,0,0,971,954,837,854,837,971,99,"45781","Canis rufus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Canidae",NA,"Canis",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_062616.1",135,0,0,1112,1095,978,995,978,1112,99,"32534","Canis simensis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Canidae",NA,"Canis",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT874472.1",135,1,0,629,612,495,512,495,629,99,"34880","Nyctereutes procyonoides","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Canidae",NA,"Nyctereutes",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT916290.1",137,0,0,1372,1355,1236,1253,1236,1372,101,"1446311","Panthera leo","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Felidae","Pantherinae","Panthera",NA,NA,"Laurasiatheria",NA,NA,"Panthera leo leo",NA,NA,NA,NA
NA,"NC_062277.1",136,0,0,634,617,499,516,499,634,100,"9657","Lutra lutra","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Mustelidae","Lutrinae","Lutra",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"OW159452.1",136,0,0,632,615,497,514,497,632,100,"9662","Meles meles","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Mustelidae","Melinae","Meles",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT628589.1",136,0,0,635,618,500,517,500,635,100,"36723","Mustela erminea","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Mustelidae","Mustelinae","Mustela",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT874477.1",140,0,0,630,613,491,508,491,630,104,"452646","Neogale vison","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Mustelidae","Mustelinae","Neogale",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT874475.1",136,1,0,637,620,502,519,502,637,100,"39293","Cystophora cristata","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Phocidae",NA,"Cystophora",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT874473.1",136,1,0,637,620,502,519,502,637,100,"39293","Cystophora cristata","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Phocidae",NA,"Cystophora",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT584129.1",136,1,0,639,622,504,521,504,639,100,"9718","Pusa hispida","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Phocidae",NA,"Pusa",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT874474.1",136,0,0,1000,983,865,882,865,1000,100,"9654","Procyon lotor","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Procyonidae",NA,"Procyon",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991401.1",136,0,0,1776,1759,1641,1658,1641,1776,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991400.1",136,0,0,1774,1757,1639,1656,1639,1774,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991399.1",136,0,0,1776,1759,1641,1658,1641,1776,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991398.1",136,0,0,1776,1759,1641,1658,1641,1776,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991397.1",136,0,0,1776,1759,1641,1658,1641,1776,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991396.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991395.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991394.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991393.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991390.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991389.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991388.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991387.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991386.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991385.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991383.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991382.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991381.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991380.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991379.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991392.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991391.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MW991384.1",136,0,0,637,620,502,519,502,637,100,"9644","Ursus arctos","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Carnivora","Ursidae",NA,"Ursus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_061570.1",136,1,0,636,619,501,518,501,636,100,"175524","Hipposideros larvatus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Hipposideridae",NA,"Hipposideros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,"Hipposideros larvatus sensu lato",NA,NA
NA,"NC_061537.1",135,1,0,633,616,499,516,499,633,99,"77229","Balionycteris maculata","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Pteropodidae","Pteropodinae","Balionycteris",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"OK274265.1",135,0,0,638,621,504,521,504,638,99,"326083","Macroglossus sobrinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Pteropodidae","Macroglossinae","Macroglossus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"OK274264.1",135,0,0,638,621,504,521,504,638,99,"326083","Macroglossus sobrinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Pteropodidae","Macroglossinae","Macroglossus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MT584130.1",135,0,0,633,616,499,516,499,633,99,"59452","Eptesicus serotinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Vespertilionidae",NA,"Eptesicus",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_061569.1",135,0,0,636,619,502,519,502,636,99,"685729","Kerivoula minuta","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Vespertilionidae",NA,"Kerivoula",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"OK274261.1",136,0,0,631,614,496,513,496,631,100,"59455","Kerivoula papillosa","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Vespertilionidae",NA,"Kerivoula",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_061567.1",136,0,0,631,614,496,513,496,631,100,"59455","Kerivoula papillosa","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Vespertilionidae",NA,"Kerivoula",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_060697.1",134,0,0,629,612,496,513,496,629,98,"302711","Myotis aurascens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Chiroptera","Vespertilionidae",NA,"Myotis",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_061372.1",135,0,1,638,621,504,521,504,638,99,"273761","Phascolosorex doriae","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Dasyuromorphia","Dasyuridae",NA,"Phascolosorex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MT916931.1",136,1,0,642,625,507,524,507,642,100,"2804713","Mogera hainana","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Eulipotyphla","Talpidae",NA,"Mogera",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736708.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736707.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736706.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736705.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736704.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736703.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736702.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736701.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736700.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736699.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736698.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736697.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736696.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736695.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736694.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"MZ736693.1",137,1,0,636,619,500,517,500,636,101,"9809","Rhinoceros unicornis","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Perissodactyla","Rhinocerotidae",NA,"Rhinoceros",NA,NA,"Laurasiatheria",NA,NA,NA,NA,NA,NA,NA
NA,"NC_060494.1",136,0,0,635,618,500,517,500,635,100,"749565","Manis pentadactyla","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Pholidota","Manidae",NA,"Manis",NA,NA,"Laurasiatheria",NA,NA,"Manis pentadactyla pentadactyla",NA,NA,NA,NA
NA,"MT872644.1",136,1,0,1215,1198,1080,1097,1080,1215,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"MT872643.1",136,1,0,1215,1198,1080,1097,1080,1215,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"OM990737.1",136,1,0,1211,1194,1076,1093,1076,1211,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"OM990736.1",136,1,0,1211,1194,1076,1093,1076,1211,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"OM990735.1",136,1,0,1211,1194,1076,1093,1076,1211,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"OM990734.1",136,1,0,1211,1194,1076,1093,1076,1211,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
NA,"OM990733.1",136,1,0,1211,1194,1076,1093,1076,1211,100,"9606","Homo sapiens","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Primates","Hominidae","Homininae","Homo","Simiiformes",NA,"Euarchontoglires","Hominoidea",NA,NA,NA,NA,"Catarrhini",NA
